-706831953.534364	 -13299905.202684	 -304605.528705	18596318370.584061	 47367396314.898766	 5817347545.267504	101058360687.959300	 34628129564.400749	 2050722661.456172	143323953640.060880	 30137228797.671497	 707240.753231	142965290981.690090	 30280413985.953896	 13594930.431544	204357053758.194270	 30245348256.695312	 977092595.475219	739691531177.350710	 13729776493.002716	 312502349.241875	78772748666.139145	 -49916090210.232941	 16213234374.041687	
-706406702.586614	 -26575773.158293	 -607744.482973	-28803981177.467945	 53983845094.654015	 6631076249.383777	84533270130.919052	 65577537361.080521	 3883629189.374232	134247597188.978960	 59025431321.739296	 1991487.078408	134492490251.049160	 58744730229.067848	 -23020883.128753	199741883785.676210	 60040685705.812065	 1939647702.089507	739327099046.694820	 27455043747.221542	 624902064.050463	58438815513.610504	 -92789255895.228851	 30138221276.790215	
-705711961.542566	 -39813109.216001	 -909034.282801	-62009031541.010201	 29332546530.438133	 3605583769.670871	58980146632.879066	 89581382152.834869	 5305297107.453146	119578255438.835310	 85449263168.509125	 2056600.369843	119418336827.468340	 85794418481.042969	 32461250.972341	192219251693.318180	 88967455452.075592	 2874144369.104539	738719864839.839970	 41171294649.488930	 937096558.184218	32494508591.146439	 -127522688807.260700	 41418596100.204758	
-704758488.544833	 -53001182.021509	 -1208389.366163	-69944551994.679153	 -8031094483.754399	 -980799462.542464	27133985810.979820	 104141480875.417710	 6167819151.531351	99932433906.941528	 108358388977.966250	 3436192.401071	99906799728.651932	 107980651764.065090	 -29531737.237010	182022170603.279510	 116664180319.698010	 3768906127.763344	737870057450.315430	 54874026342.600372	 1248983342.165273	4697539970.944013	 -155784773006.770870	 50596420359.990074	
-703557757.490042	 -66131867.037458	 -1505820.484358	-51020465095.544701	 -42170256870.297348	 -5171267428.845129	-7632285279.177480	 107786160321.761200	 6384066186.657923	76156621195.461182	 126803617307.995570	 3115777.464300	76295529789.877533	 127143860980.146150	 32828284.869239	169440368154.862760	 142842430639.576420	 4614616578.843262	736777997095.644900	 68558742357.428436	 1560460071.933548	-23335992903.048080	 -179284588883.681700	 58226978925.595718	
-702121486.462862	 -79200673.443291	 -1801525.733216	-9616164702.820097	 -56255670223.554565	 -6899435844.028951	-41681021906.479607	 100203837540.192690	 5935594545.189021	49259977998.118896	 140104565026.384950	 3996254.466318	48971361428.759819	 139852547088.777920	 -18741884.394436	154794150707.538730	 167292245954.398900	 5404494217.945158	735444095098.444090	 82220954742.484024	 1871424597.414659	-50958320757.814865	 -199258999271.495700	 64712132049.406494	
-700459079.481960	 -92206935.505181	 -2095903.981468	35127119737.728317	 -31935820364.137157	 -3912013725.198752	-71494101578.967514	 82247018208.250992	 4872882193.328484	20335795440.367870	 147746235006.641690	 3590355.644078	20684984949.393250	 147869507783.477600	 16181324.750228	138411049834.323240	 189878660906.263790	 6134180003.206965	733868853613.300290	 95856186186.312256	 2181775010.880190	-77922896909.368210	 -216555498917.320100	 70327233297.470459	
-698575063.986880	 -105149021.452943	 -2388979.764411	40068100288.738449	 23263087291.431080	 2866887350.698937	-94026633542.142609	 55818020063.218544	 3308562464.533382	-9412641533.861261	 149498014056.816010	 3558242.159785	-9799656656.653860	 149512579435.712460	 1734013.241896	120607765774.562060	 210532316102.479310	 6801433976.675487	732052865298.854370	 109459972129.471160	 2491409695.075337	-104151665019.588060	 -231760641628.771180	 75262855828.785751	
-696478296.232495	 -118020348.684492	 -2679946.642755	-1223104485.112603	 55035997207.116669	 6769411494.310120	-106998978859.858600	 23658294638.742989	 1404950266.145069	-38836526288.014008	 145346532687.826020	 3229488.105664	-38504630539.600670	 145180226183.328980	 -7717670.255125	101678084082.714890	 229237239047.342160	 7405740553.581677	729996812935.815800	 123027862863.362150	 2800227371.011418	-129638810189.912430	 -245291016584.963470	 79654350708.488403	
-694183496.254436	 -130822617.446273	 -2968839.441664	-45240706649.578178	 46339534109.496925	 5702887824.547594	-109106885329.234070	 -10932207934.180534	 -642573542.350513	-66756634833.608368	 135505522824.751400	 2182606.307997	-67018743721.328377	 135779431631.787200	 22735544.078340	81886166387.881882	 246018221295.033690	 7947900790.719011	727701468988.005000	 136555425611.608380	 3108127145.147296	-154409260729.326970	 -257450911217.328490	 83600581742.929062	
